prozent	percent
wel@@ tan@@ schau@@ ung	world@@ view
li@@ z@@ enz	licen@@ se
kl@@ at@@ schen	cla@@ pping
sub@@ ven@@ tionen	sub@@ si@@ dies
al@@ b@@ traum	ni@@ ght@@ m@@ are
außen@@ politik	policy
um@@ gewand@@ elt	trans@@ formed
bin@@ dung	atta@@ ch@@ ment
jung@@ frau	virg@@ in
be@@ wiesen	pro@@ ven
abstra@@ ktion	abstra@@ ction
ver@@ passt	mis@@ sed
finanzi@@ ell	finan@@ cially
ver@@ handeln	negoti@@ ate
vor@@ lieben	pre@@ fer@@ ences
schöpf@@ er	cre@@ ator
schlag@@ zei@@ le	head@@ line
program@@ miert	progra@@ mm@@ ed
rück@@ gang	dec@@ line
unterscheiden	dist@@ ingu@@ ish
an@@ ste@@ ck@@ end	con@@ ta@@ gi@@ ous
reali@@ stisch	reali@@ stic
tief@@ greif@@ ende	profound
elektro@@ magne@@ tische	electro@@ magnetic
ka@@ ch@@ eln	ti@@ les
enzy@@ m	enzy@@ me
g@@ rie@@ ch@@ ischen	gre@@ ek
techn@@ ologen	technologi@@ sts
rechen@@ leistung	computing
syste@@ mati@@ sche	syste@@ matic
mo@@ sk@@ au	mo@@ s@@ co@@ w
ab@@ wei@@ chung	diver@@ gen@@ ce
christ@@ liche	chri@@ stian
nachbar@@ schaften	neighbor@@ ho@@ ods
kle@@ ber	gl@@ ue
wel@@ tre@@ kor@@ d	record
sei@@ fe	so@@ ap
zahn@@ arzt	den@@ ti@@ st
gemein@@ nütz@@ ige	non@@ profit
si@@ tzung	s@@ ession
ver@@ sich@@ erung	in@@ sur@@ ance
verein@@ bar@@ ung	agre@@ ement
doku@@ men@@ tiert	docum@@ ented
ö@@ ster@@ reich	au@@ stri@@ a
spr@@ ung	lea@@ p
ange@@ wen@@ det	applied
versch@@ wör@@ ung	con@@ spi@@ ra@@ cy
gesi@@ chts@@ aus@@ drü@@ cke	fac@@ ial
dynam@@ isch	dynam@@ ically
erwar@@ tung	expec@@ tation
3@@ 0er	3@@ 0s
ru@@ pi@@ en	ru@@ pe@@ es
authenti@@ sch	authenti@@ c
schwarz@@ äu@@ gi@@ ge	black@@ -@@ e@@ yed
be@@ wahren	preser@@ ve
verur@@ sachen	caus@@ ing
me@@ hl	fl@@ our
neuro@@ wissenschaftler	neuro@@ scientists
man@@ gel@@ ernährung	mal@@ nutri@@ tion
homo@@ sexu@@ alität	homo@@ sexu@@ ality
program@@ mieren	progra@@ mming
bun@@ des@@ regierung	fe@@ der@@ al
indi@@ re@@ kt	indi@@ rec@@ tly
nie@@ dlich	c@@ ute
k@@ noten	no@@ des
kompli@@ ka@@ tionen	compli@@ cations
frü@@ chte	fru@@ its
merk@@ mal	fe@@ ature
itali@@ en@@ ische	itali@@ an
er@@ schien	appe@@ ared
techni@@ ker	techni@@ cian
menschen@@ menge	crowd
anpas@@ sung	adap@@ tation
kri@@ tik	cri@@ tic@@ ism
ent@@ kommen	es@@ cape
ver@@ bot@@ en	ban@@ ned
äl@@ ter@@ er	el@@ der@@ ly
integri@@ ert	integr@@ ated
obje@@ ktive	obje@@ ctive
gesch@@ wi@@ ster	si@@ bl@@ ings
fuß@@ ab@@ druck	foot@@ print
rett@@ ung	res@@ cu@@ e
bedeu@@ tungen	mean@@ ings
gei@@ ge	vi@@ o@@ lin
verwal@@ ten	manage
ver@@ lang@@ sam@@ t	slo@@ wed
un@@ sicher	inse@@ cure
aussehen	appe@@ ar@@ ance
ausge@@ wä@@ hlt	cho@@ sen
umge@@ kehr@@ te	rever@@ se
mitt@@ wo@@ ch	we@@ dn@@ es@@ day
ma@@ gi@@ er	ma@@ gi@@ cian
wei@@ che	soft
konstru@@ iert	constru@@ cted
ank@@ am	arrived
un@@ fähig	un@@ able
beschle@@ un@@ ig@@ ung	acceler@@ ation
erfol@@ ge	success@@ es
se@@ ktoren	sec@@ tors
plö@@ tz@@ lichen	sudden
ver@@ spro@@ chen	promis@@ ed
herstellung	manufacturing
kontin@@ u@@ ität	continu@@ ity
kümm@@ ert	car@@ es
fischen	fishing
wichtige	major
tauchen	di@@ ving
hoff@@ nungs@@ los	hop@@ eless
magne@@ tische	magnetic
ein@@ spar@@ ungen	sav@@ ings
schw@@ ell@@ en@@ ländern	emerging
schl@@ am@@ m	mu@@ d
er@@ zogen	raised
betr@@ un@@ ken	dr@@ un@@ k
antwor@@ tete	repli@@ ed
lei@@ hen	bor@@ row
besch@@ weren	com@@ pla@@ in
sta@@ tisch	sta@@ tic
verb@@ ün@@ dete	al@@ lies
besch@@ ä@@ digt	dama@@ ged
ge@@ tragen	car@@ ried
haltung	post@@ ure
un@@ vermei@@ dlich	inevi@@ table
entfern@@ ungen	di@@ stances
epi@@ le@@ p@@ sie	epi@@ le@@ p@@ sy
raum@@ schiff	spac@@ es@@ hi@@ p
ge@@ ologen	ge@@ ologists
aufzu@@ g	el@@ ev@@ ator
ly@@ m@@ ph@@ k@@ noten	ly@@ mp@@ h
mü@@ n@@ zen	co@@ ins
unterneh@@ mer@@ t@@ um	entreprene@@ ur@@ ship
besu@@ cher	vis@@ it@@ ors
geschi@@ chten@@ erzähl@@ er	story@@ t@@ eller
rin@@ d@@ fleisch	bee@@ f
wahr@@ genommen	percei@@ ved
zwe@@ cke	pur@@ pos@@ es
transpor@@ tieren	transport
glück@@ lichsten	happ@@ i@@ est
interven@@ tionen	interven@@ tions
sequen@@ ziert	sequen@@ ced
nenne	calling
ein@@ schrän@@ kung	limit@@ ation
vari@@ abili@@ tät	vari@@ ability
schlu@@ g	pro@@ posed
umzu@@ gehen	dealing
be@@ gehen	com@@ mit
mis@@ st	meas@@ ures
diagno@@ sti@@ zieren	diagno@@ se
schließen	conclu@@ de
angeneh@@ me	pleas@@ ant
ide@@ alismus	ide@@ alism
spiel@@ ern	players
abhän@@ gen	dep@@ end
techn@@ ische	engineering
kon@@ ven@@ tion@@ elle	conven@@ tional
ver@@ gleich@@ bar	compar@@ able
aus@@ bruch	out@@ break
europä@@ er	europe@@ ans
komm@@ un@@ ismus	commun@@ ism
erhö@@ ht	incre@@ ases
wün@@ schte	wi@@ shed
oli@@ ven@@ öl	o@@ live
ur@@ in	ur@@ ine
ge@@ stimmt	vot@@ ed
miss@@ brauch	ab@@ use
meister	master
über@@ lebenden	survi@@ vor@@ s
schmu@@ ck	je@@ wel@@ ry
di@@ k@@ tat@@ oren	dic@@ tat@@ ors
pro@@ vin@@ z	pro@@ vin@@ ce
op@@ fern	sac@@ ri@@ fi@@ ce
mag@@ ische	ma@@ gical
fische	fis@@ hes
um@@ fragen	sur@@ ve@@ ys
fuß@@ ball	foot@@ ball
geschi@@ chten@@ erzähl@@ ens	story@@ telling
pf@@ eil	ar@@ row
tas@@ man@@ ischen	tas@@ mani@@ an
ju@@ dent@@ um	ju@@ da@@ ism
zeit@@ schriften	maga@@ zin@@ es
gemein@@ kosten	over@@ head
se@@ ele@@ op@@ ar@@ den	le@@ op@@ ard
schi@@ enen	tra@@ cks
er@@ fassung	cen@@ su@@ s
riesen@@ ha@@ ie	bas@@ king
kan@@ ä@@ le	chan@@ n@@ els
wert@@ schä@@ tzung	appreci@@ ation
umwelt@@ probleme	environmental
bild@@ hau@@ er	sculp@@ tor
ver@@ körper@@ ung	em@@ bo@@ di@@ ment
ermu@@ tigt	encoura@@ ged
bestä@@ tigen	con@@ fir@@ m
trag@@ isch	tra@@ gic
wi@@ ese	me@@ a@@ dow
zeich@@ nete	dre@@ w
sch@@ ne@@ cken	sna@@ ils
faszinier@@ ende	intri@@ gu@@ ing
fas@@ sa@@ de	fac@@ ade
wasser@@ fall	water@@ fall
aus@@ gelö@@ scht	wi@@ ped
äuß@@ ere	ou@@ ter
erkennt	recogni@@ zes
vor@@ les@@ ungen	lec@@ tures
kom@@ pe@@ ten@@ z	compe@@ ten@@ ce
be@@ stra@@ fen	pun@@ ish
vorher@@ gesagt	predi@@ cted
zusammenhang	cor@@ relation
er@@ mor@@ det	mur@@ dered
auf@@ trag	as@@ sign@@ ment
bet@@ onen	em@@ ph@@ asi@@ ze
land@@ ung	land@@ ing
prakti@@ ken	practic@@ es
außer@@ ord@@ entlich	extra@@ ordin@@ arily
lebens@@ mittel	fo@@ ods
proble@@ matisch	proble@@ matic
za@@ hn	to@@ oth
be@@ waff@@ neten	ar@@ med
ba@@ de@@ zimmer	ba@@ th@@ room
ar@@ teri@@ en	ar@@ ter@@ ies
regu@@ li@@ erung	regu@@ lation
über@@ fis@@ chung	over@@ fishing
has@@ ste	hat@@ ed
fort@@ setzung	sequ@@ el
entsch@@ lossen	determin@@ ed
untersuchung	investi@@ gation
pro@@ -@@ kop@@ f-@@ einkommen	capit@@ a
auto@@ unfall	accident
poli@@ zi@@ sten	poli@@ ce@@ men
sucht	addi@@ ction
kombin@@ ationen	combin@@ ations
rei@@ bung	fri@@ ction
richt@@ linien	poli@@ cies
zahn@@ bür@@ ste	to@@ o@@ th@@ br@@ ush
phän@@ omen@@ ale	phenomen@@ al
ver@@ spricht	promis@@ es
krimin@@ ellen	crimin@@ al
be@@ treten	enter
unter@@ sch@@ rieben	sig@@ ned
tro@@ p@@ ischen	tro@@ pic@@ al
wohl@@ hab@@ enden	weal@@ thy
isra@@ eli@@ sche	isra@@ el@@ i
flü@@ cht@@ l@@ ing@@ sla@@ ger	re@@ fu@@ ge@@ e
nutz@@ pflanzen	cro@@ ps
dar@@ gestellt	repres@@ ented
schwä@@ che	we@@ ak@@ ness
geschä@@ tzt	esti@@ ma@@ ted
ent@@ span@@ nen	rela@@ x
vor@@ schlä@@ ge	sugge@@ sti@@ ons
revolution@@ ieren	revolution@@ ize
ein@@ schrän@@ kungen	con@@ stra@@ in@@ ts
gel@@ ang@@ wei@@ lt	bor@@ ed
wä@@ sche	laun@@ dry
berei@@ t@@ schaft	will@@ ing@@ ness
sa@@ ft	ju@@ ice
mehr@@ eren	multiple
blo@@ go@@ sphäre	blo@@ go@@ sphere
beein@@ dru@@ cken	im@@ press
verbreitet	spre@@ ads
nach@@ kommen	off@@ spring
tür@@ me	to@@ wers
ein@@ kauf@@ s@@ zentrum	sh@@ opp@@ ing
überrasch@@ ungen	surpris@@ es
196@@ 0ern	196@@ 0s
ku@@ pf@@ er	cop@@ per
fru@@ cht@@ fliegen	fru@@ it
orten	lo@@ cations
dau@@ er	du@@ ration
fehl@@ ern	mistakes
gewä@@ ss@@ ern	wat@@ ers
nahe@@ zu	virtu@@ ally
sensor@@ ische	sensor@@ y
sp@@ ri@@ tze	sy@@ r@@ inge
diplo@@ ma@@ ten	diplo@@ ma@@ ts
reak@@ toren	re@@ ac@@ tors
intro@@ verti@@ erte	intro@@ ver@@ ts
ge@@ lieb@@ ten	belo@@ ved
ge@@ fei@@ ert	cele@@ br@@ ated
schwe@@ fel	su@@ l@@ fu@@ r
steu@@ er	ta@@ x
defini@@ tionen	defini@@ tions
mittleren	midd@@ le-@@ a@@ ged
autor@@ itä@@ re	auth@@ or@@ it@@ arian
frü@@ he@@ sten	earli@@ est
trägt	car@@ ries
deut@@ schen	ger@@ man@@ s
beschrei@@ b@@ ungen	descri@@ p@@ tions
geno@@ ssen	enjo@@ yed
entfern@@ ten	dist@@ ant
über@@ ge@@ wichtig	over@@ weight
tor	gate
frei@@ heiten	free@@ dom@@ s
mö@@ n@@ ch	mon@@ k
geräusche	no@@ is@@ es
sicherheits@@ rat	coun@@ cil
s@@ än@@ ger	sing@@ ers
ein@@ geschlossen	lo@@ cked
beschle@@ uni@@ gt	acceler@@ ating
ver@@ einfachen	simpli@@ fy
sorge	conc@@ ern
zu@@ zuhören	listening
g@@ rie@@ chen@@ land	gre@@ e@@ ce
vorher@@ seh@@ bar	predic@@ table
respe@@ kti@@ ert	respe@@ cted
zeuge	wit@@ ness
be@@ wei@@ st	pro@@ ves
ver@@ a@@ chtung	con@@ temp@@ t
prin@@ z@@ ess@@ in	prin@@ cess
bio@@ materialien	bio@@ materials
aus@@ ger@@ ot@@ tet	er@@ a@@ dic@@ ated
für@@ chte	afraid
b@@ ör@@ se	stock
dat@@ ei	fi@@ le
la@@ sche	fla@@ p
liefer@@ ket@@ te	supply
tsch@@ k	ch@@ k
büro@@ kratie	bu@@ re@@ au@@ cra@@ cy
arbeits@@ los	un@@ emplo@@ yed
zun@@ eig@@ ung	affe@@ ction
kennen	knowing
kö@@ st@@ lich	deli@@ cious
kin@@ o	cin@@ em@@ a
kir@@ chen	chur@@ ches
erstens	fir@@ stly
kämp@@ ft	fighting
trans@@ zen@@ den@@ z	tran@@ scen@@ dence
dete@@ ktoren	dete@@ c@@ tors
hand@@ schuhe	glo@@ ves
budd@@ hi@@ stischen	budd@@ h@@ ist
richtigen	pro@@ per
konz@@ erte	con@@ cer@@ ts
stür@@ me	stor@@ ms
spezi@@ alisierung	speci@@ alization
überra@@ schen@@ der@@ weise	surpris@@ ingly
köni@@ g@@ innen	que@@ ens
entschei@@ det	deci@@ des
verwir@@ r@@ end	conf@@ using
ver@@ kün@@ dete	announ@@ ced
eigen@@ interesse	self-@@ interest
einzu@@ fangen	capture
wissenschaften	sci@@ ences
hielt	held
bestehen	ins@@ ist
kehr@@ te	re@@ turned
ir@@ on@@ isch	ir@@ onic
gan@@ z@@ heit	wh@@ ol@@ eness
lehr@@ bücher	text@@ books
no@@ ti@@ z@@ buch	not@@ e@@ book
entsch@@ lossen@@ heit	determin@@ ation
schreck@@ lichen	horri@@ ble
afgh@@ an@@ ische	afgh@@ an
pf@@ licht	du@@ ty
gewinn@@ e	prof@@ its
in@@ ji@@ zieren	inje@@ ct
sä@@ ure	ac@@ id
konsu@@ miert	consum@@ ed
ga@@ st@@ geber	ho@@ st
proz@@ ess@@ or	process@@ or
ent@@ ste@@ hung	emergen@@ ce
konfron@@ tieren	con@@ front
grö@@ ßen	si@@ zes
dr@@ ing@@ lichkeit	ur@@ gen@@ cy
erwachsen@@ en@@ alter	adul@@ tho@@ od
ge@@ dru@@ ckt	prin@@ ted
meeres@@ frü@@ chte	se@@ af@@ o@@ od
z@@ immer@@ geno@@ ss@@ in	ro@@ om@@ mate
offen@@ bar@@ ung	re@@ vel@@ ation
kr@@ ater	cr@@ ater
lo@@ y@@ alität	lo@@ y@@ al@@ ty
besit@@ zt	ow@@ ns
ange@@ zogen	attra@@ cted
infe@@ k@@ tion@@ sk@@ r@@ ank@@ heiten	infe@@ c@@ tious
gen@@ f	gen@@ ev@@ a
anzu@@ gehen	t@@ ack@@ le
schla@@ ge	pro@@ pose
magne@@ te	magne@@ ts
magne@@ ten	mag@@ net
wieder@@ hol@@ te	repe@@ ated
angeb@@ lich	sup@@ pos@@ ed@@ ly
gefallen	fallen
rechen@@ schaft	accoun@@ t@@ ability
ver@@ bringt	sp@@ ends
be@@ fe@@ hl	comm@@ and
gefü@@ tter@@ t	f@@ ed
tempor@@ äre	temporary
myster@@ i@@ ö@@ se	myster@@ i@@ ous
ab@@ schied	go@@ od@@ b@@ ye
nen@@ ner	den@@ om@@ in@@ ator
hei@@ mlich	secre@@ tly
glü@@ h@@ wür@@ m@@ chen	fire@@ flies
z@@ enti@@ meter	in@@ ch
ge@@ flo@@ gen	flo@@ wn
mutter@@ lei@@ b	wom@@ b
mikrosk@@ op@@ isch	microscop@@ ic
pal@@ ast	pal@@ ace
rech@@ te@@ ck	rec@@ tan@@ gle
gest@@ res@@ st	st@@ ressed
lauf@@ band	tre@@ ad@@ mil@@ l
groß@@ mütter	grand@@ mothers
an@@ zeigen	ads
her@@ steller	manufac@@ tur@@ er
ver@@ lan@@ gt	dem@@ ands
gerne	li@@ kes
auf@@ treten	occu@@ r
rä@@ um@@ liche	spa@@ tial
mittel@@ meer	medi@@ ter@@ ran@@ e@@ an
inst@@ abili@@ tät	inst@@ ability
er@@ re@@ gung	ar@@ ou@@ sal
dien@@ er	ser@@ v@@ ant
zu@@ frieden@@ heit	satis@@ fac@@ tion
o@@ ster@@ insel	e@@ aster
auto@@ fahren	driving
spiel@@ er@@ isch	play@@ ful
theore@@ tische	theore@@ tical
wür@@ dig	wor@@ thy
auf@@ klär@@ ung	en@@ ligh@@ ten@@ ment
wa@@ is@@ en@@ haus	or@@ phan@@ age
un@@ gleich@@ gewicht	im@@ balance
kompon@@ ist	com@@ pos@@ er
bo@@ hr@@ er	dri@@ ll
zu@@ ver@@ sichtlich	confi@@ dent
aus@@ wählen	pick
ex@@ o@@ tische	ex@@ o@@ tic
mittel@@ alter@@ liche	medi@@ ev@@ al
außen@@ minister@@ in	secre@@ t@@ ary
selbst@@ wert@@ gefühl	self-@@ worth
stär@@ k@@ sten	stron@@ gest
sk@@ ri@@ p@@ te	scri@@ p@@ ts
hängen	hang
spiritu@@ alität	spiritu@@ ality
schla@@ cht@@ feld	bat@@ t@@ le@@ field
aus@@ reden	exc@@ uses
erfü@@ ll@@ ung	ful@@ fil@@ l@@ ment
be@@ festi@@ gt	atta@@ ched
symme@@ tr@@ ische	symme@@ tri@@ cal
ver@@ stor@@ benen	de@@ ce@@ ased
schw@@ am@@ m	swa@@ m
ab@@ gelen@@ kt	di@@ stra@@ cted
explo@@ sionen	explo@@ sions
k@@ au@@ l@@ qu@@ app@@ en	ta@@ d@@ po@@ les
behinder@@ ungen	dis@@ abilities
implan@@ tiert	implan@@ ted
be@@ ste@@ chung	bri@@ be
lieben	lo@@ ving
193@@ 0ern	193@@ 0s
anteil	propor@@ tion
x-@@ achse	x-@@ axis
revolution@@ äre	revolution@@ ary
gele@@ hr@@ ten	sch@@ ol@@ ars
verhaltens@@ ökonom@@ ie	behavi@@ oral
zusammen@@ bruch	break@@ down
y-@@ achse	y-@@ axis
ander@@ s@@ arti@@ gkeit	o@@ th@@ ern@@ ess
mon@@ sun	mon@@ soon
sta@@ ch@@ eln	sp@@ ines
kl@@ auen	cla@@ ws
unter@@ bro@@ chen	inter@@ rup@@ ted
wä@@ ge@@ zelle	load
augen@@ licht	sight
haus@@ hal@@ ts@@ geräte	appli@@ an@@ ces
kan@@ ad@@ ischen	can@@ adi@@ an
hy@@ äne	hy@@ en@@ a
all@@ mä@@ h@@ lich	gradu@@ ally
unter@@ ir@@ dischen	under@@ ground
unterneh@@ mer@@ ische	entrepr@@ en@@ eu@@ ri@@ al
reg@@ net	ra@@ ins
ver@@ drei@@ fa@@ cht	tri@@ pl@@ ed
elimin@@ ieren	elimin@@ ate
ver@@ sich@@ ere	as@@ sure
parado@@ x@@ erweise	parado@@ x@@ ically
be@@ tro@@ gen	che@@ ated
begeg@@ nungen	en@@ counter@@ s
er@@ run@@ gen@@ schaften	achie@@ v@@ ements
bo@@ hnen	be@@ ans
ras@@ en	law@@ ns
nieder@@ länder	du@@ tch
re@@ p@@ tili@@ en	re@@ p@@ ti@@ les
infor@@ mieren	in@@ form
un@@ zä@@ h@@ lige	coun@@ t@@ less
tö@@ dlich	de@@ ad@@ ly
gezogen	pulled
zi@@ tiert	quot@@ ed
prä@@ gte	co@@ ined
kopf@@ hör@@ er	head@@ phones
kom@@ position	com@@ position
gr@@ aus@@ am@@ keit	cru@@ el@@ ty
prü@@ fung	ex@@ am
gra@@ m@@ mati@@ k	gra@@ m@@ ma@@ r
sie@@ b@@ te	se@@ vent@@ h
aus@@ flug	trip
markt@@ platz	market@@ place
ge@@ fan@@ gen@@ en@@ dile@@ m@@ ma	pris@@ on@@ er
tran@@ sa@@ ktionen	trans@@ actions
deta@@ il@@ li@@ erte	deta@@ iled
ehe@@ männer	hus@@ b@@ ands
real@@ itäten	reali@@ ties
ment@@ alität	ment@@ ality
die@@ b@@ sta@@ hl	the@@ ft
hoch@@ geladen	u@@ plo@@ aded
versch@@ wen@@ det	wa@@ sted
benötigt	requi@@ red
schei@@ ben	sli@@ ces
bedeu@@ tungs@@ los	meaning@@ less
erweiter@@ t	exp@@ and@@ ed
schil@@ d@@ kr@@ ö@@ te	tur@@ tle
hä@@ up@@ t@@ ling	ch@@ ie@@ f
feuer@@ we@@ hr@@ mann	fire@@ man
an@@ fragen	re@@ que@@ sts
interak@@ tivität	inter@@ activity
gewi@@ d@@ met	de@@ vot@@ ed
durch@@ brü@@ che	break@@ through@@ s
sch@@ ach	ch@@ ess
ver@@ glei@@ cht	compar@@ ing
über@@ wäl@@ ti@@ gende	over@@ wh@@ el@@ ming
zu@@ ver@@ lässi@@ g	reli@@ able
erweiter@@ te	exten@@ ded
ei@@ ch@@ hör@@ n@@ chen	squ@@ ir@@ re@@ l
person@@ alisierung	person@@ alization
er@@ wer@@ ben	ac@@ qui@@ re
fahrt	ride
künst@@ lich	arti@@ fi@@ cially
angenommen	as@@ sum@@ ed
manipu@@ liert	mani@@ pul@@ ated
geschen@@ ke	gif@@ ts
erstaun@@ licherweise	ama@@ z@@ ingly
log@@ isch	logi@@ cal
ent@@ führt	kid@@ na@@ pped
ph@@ as@@ en	st@@ ages
sü@@ ß@@ igkeiten	c@@ and@@ y
urban@@ isi@@ erung	ur@@ b@@ ani@@ zation
kopf@@ schmerzen	hea@@ da@@ ches
un@@ end@@ lichkeit	infin@@ ity
einge@@ fangen	cap@@ tured
jahrhunderts	21@@ st-@@ century
erleben	experi@@ en@@ cing
ge@@ fan@@ gen@@ schaft	cap@@ tivity
bus@@ h-@@ regierung	admini@@ stration
nieder@@ lage	de@@ fe@@ at
fe@@ dern	fe@@ a@@ thers
ge@@ d@@ ei@@ hen	thri@@ ve
hing@@ eri@@ chtet	ex@@ ecu@@ ted
krebs@@ arten	can@@ cers
genau@@ igkeit	accu@@ ra@@ cy
sonnen@@ unter@@ gang	sun@@ set
zä@@ une	f@@ ences
selb@@ stor@@ gan@@ is@@ ation	self-@@ organization
anal@@ o@@ gi@@ en	anal@@ o@@ gi@@ es
ge@@ war@@ tet	wa@@ ited
spiel@@ dynam@@ i@@ ken	dynam@@ ics
zwei@@ dimension@@ alen	two-@@ dimensional
mäd@@ els	girls
brasili@@ anischen	brazi@@ li@@ an
korre@@ k@@ theit	cor@@ rec@@ t@@ ness
un@@ angeneh@@ m	un@@ comfortable
zwan@@ gs@@ läu@@ fi@@ g	inevi@@ t@@ ably
ans@@ ä@@ tze	approach@@ es
person@@ alisi@@ erte	person@@ alized
sing@@ t	sing@@ ing
gesch@@ la@@ fen	sle@@ pt
domin@@ anz	domin@@ ance
vermögen	asse@@ ts
refle@@ xi@@ on	refle@@ ction
schw@@ ing@@ ungen	vi@@ bra@@ tions
beantworten	ans@@ wer@@ ing
kri@@ ti@@ siert	cri@@ ti@@ ci@@ zed
dol@@ me@@ tsch@@ erin	transl@@ ator
kore@@ an@@ isch	kore@@ an
dom@@ inieren	domin@@ ate
fort@@ pflan@@ zung	re@@ production
nor@@ do@@ sten	nor@@ the@@ ast
kr@@ ücken	cru@@ t@@ ches
brie@@ f@@ tasche	wal@@ let
ero@@ tische	ero@@ tic
über@@ fluss	ab@@ und@@ ance
kühl@@ sch@@ r@@ ank	re@@ fri@@ ger@@ ator
gest@@ alt	shape
ver@@ pac@@ kung	pac@@ k@@ aging
unterstützung	assi@@ stance
ma@@ ssen	mas@@ ses
sie@@ d@@ lungen	sett@@ le@@ ments
eingesetzt	de@@ plo@@ yed
dunkel@@ sten	dar@@ k@@ est
sk@@ ri@@ pt	scri@@ pt
50@@ 0.000	50@@ 0,000
ein@@ fall@@ s@@ rei@@ cht@@ um	in@@ genu@@ ity
sch@@ weiß	swe@@ at
7@@ 0@@ 0.000	7@@ 0@@ 0,000
nord@@ westen	nor@@ th@@ west
tie@@ fen	dep@@ ths
enth@@ ü@@ llen	reve@@ al
gesetz@@ geb@@ ung	leg@@ is@@ lation
gras@@ land	gras@@ s@@ lands
kapit@@ eln	chap@@ ters
herz@@ kla@@ ppe	val@@ ve
finger@@ ab@@ druck	finger@@ print
ent@@ span@@ nt	rela@@ x@@ ed
ma@@ il@@ and	mil@@ an
liefer@@ anten	supp@@ li@@ ers
jugend@@ lichen	ad@@ oles@@ cents
k@@ ie@@ fer	ja@@ w
sand@@ kör@@ ner	gra@@ ins
kra@@ wat@@ te	tie
lin@@ k@@ sh@@ än@@ der	le@@ ft@@ -@@ hand@@ ed
durch@@ dr@@ ingen	pen@@ et@@ rate
geschwindi@@ gkeiten	spee@@ ds
res@@ on@@ anz	res@@ on@@ ance
schlie@@ ßt	inclu@@ des
ven@@ en	v@@ eins
frem@@ d@@ heit	stran@@ gen@@ ess
bä@@ cker@@ ei	bak@@ ery
befindet	lo@@ cated
anony@@ mit@@ ät	anony@@ m@@ ity
best@@ äu@@ ber	pol@@ lin@@ ators
gur@@ ke	cu@@ cum@@ ber
schä@@ men	as@@ ham@@ ed
energi@@ en	energi@@ es
frei@@ gesetzt	rele@@ ased
off@@ enen	open-@@ heart
au@@ stern	o@@ y@@ sters
tumor@@ therap@@ ie@@ felder	tre@@ ating
sti@@ ck@@ stoff@@ mon@@ ox@@ id	ni@@ tri@@ c
ein@@ gang	ent@@ r@@ ance
rau@@ igkeit	rou@@ g@@ hn@@ ess
stau@@ geb@@ ü@@ hren	con@@ ge@@ sti@@ on
verknü@@ pf@@ te	lin@@ ked
neuro@@ log@@ ische	neuro@@ logi@@ cal
fun@@ ken	spar@@ k
sper@@ r@@ holz	pl@@ y@@ wood
kap@@ stadt	town
stö@@ cken	sti@@ cks
u@@ hren	clo@@ cks
frei@@ wi@@ llig	volunte@@ er
ni@@ chte	nie@@ ce
sozi@@ ologen	soci@@ ologists
i@@ mi@@ tiert	mi@@ mi@@ cs
beru@@ fe	professi@@ ons
heraus@@ ge@@ fordert	challen@@ ged
chirur@@ g@@ ischen	sur@@ gical
gehei@@ lt	cu@@ red
schei@@ dung	di@@ vor@@ ce
sozial@@ hilfe	wel@@ f@@ are
ent@@ span@@ nung	rela@@ x@@ ation
ber@@ ück@@ sichti@@ gt	account
mikro@@ sekunden	micro@@ seconds
predi@@ gt	ser@@ mon
ver@@ nach@@ lässi@@ gt	ne@@ g@@ le@@ cted
bibliothe@@ k@@ are	libr@@ ari@@ ans
ges@@ can@@ nt	scan@@ ned
digit@@ alisiert	di@@ gi@@ ti@@ zed
be@@ wunder@@ ung	ad@@ mi@@ ration
er@@ leu@@ chtung	epi@@ ph@@ any
inje@@ ktion	inje@@ ction
hum@@ m@@ eln	bu@@ m@@ ble@@ bees
sch@@ ne@@ cke	sna@@ il
best@@ äu@@ bung	pol@@ lin@@ ation
d@@ än@@ ische	dan@@ ish
unter@@ wä@@ sche	under@@ wear
zu@@ stimmung	con@@ sent
miss@@ verstanden	mis@@ understood
über@@ setz@@ ungen	trans@@ lations
vern@@ ün@@ f@@ tige	reas@@ on@@ able
rech@@ nen	calcul@@ ating
gefähr@@ dete	en@@ danger@@ ed
nation@@ alismus	nation@@ alism
simu@@ la@@ tionen	simu@@ lations
entscheiden@@ d	cru@@ cial
entstand	emer@@ ged
arti@@ keln	artic@@ les
sinn@@ vollen	meaning@@ ful
4@@ 0ern	4@@ 0s
kommuni@@ stischen	commun@@ ist
anal@@ p@@ hab@@ e@@ ten	il@@ liter@@ ate
zu@@ gelassen	appro@@ ved
pro@@ vin@@ zen	pro@@ vin@@ ces
ver@@ s@@ öhn@@ ung	re@@ con@@ ci@@ li@@ ation
perfe@@ ktion	perfe@@ ction
verkauf@@ te	selling
palä@@ on@@ t@@ ologe	pal@@ e@@ on@@ t@@ ologist
kol@@ lagen	col@@ lagen
aku@@ stische	ac@@ ou@@ stic
explo@@ di@@ erte	explo@@ ded
²	squ@@ ared
spie@@ geln	mir@@ r@@ ors
unbe@@ ab@@ sichti@@ gte	un@@ inten@@ ded
ur@@ ein@@ wohner	na@@ tive
radi@@ ologen	radi@@ ologists
er@@ holt	re@@ covered
dar@@ win@@ ismus	dar@@ win@@ ism
an@@ erkennen	ac@@ knowledge
ein@@ sam	lon@@ ely
